City,Number of Accidents,population
Abbott,32,364
Abernathy,5,"2,814"
Abilene,71,"129,043"
Addison,123,"17,100"
Adkins,10,
Adrian,12,130
Alamo,30,"20,460"
Alba,2,499
Albany,4,"1,923"
Aledo,192,"6,287"
Alice,6,"17,579"
Allen,570,"111,620"
Alleyton,9,
Alto,2,"1,054"
Alton,2,"21,130"
Alvarado,111,"6,225"
Alvin,55,"28,633"
Amarillo,84,"202,408"
Amherst,5,655
Anahuac,14,"1,997"
Andrews,18,"13,502"
Angleton,129,"20,206"
Anna,47,"27,501"
Anson,2,"2,302"
Anton,2,916
Archer,5,"1,626"
Argyle,120,"5,859"
Arlington,5281,"398,431"
Asherton,2,690
Atascosa,14,
Athens,8,"13,503"
Atlanta,2,"5,421"
Aubrey,19,"8,267"
Austin,87126,"979,882"
Avinger,2,370
Azle,6,"14,562"
Bacliff,6,
Baird,15,"1,526"
Balch Springs,1099,"26,711"
Ballinger,1,"3,581"
Balmorhea,21,384
Bandera,1,879
Barksdale,5,
Barstow,5,252
Bartlett,3,"1,616"
Bastrop,37,"11,679"
Baytown,448,"84,067"
Beasley,19,692
Beaumont,155,"112,193"
Beckville,6,742
Bedford,755,"48,370"
Bedias,1,394
Bee Cave,23,"8,621"
Beeville,6,"13,211"
Bellaire,728,"17,016"
Bellevue,6,302
Bells,6,"1,521"
Bellville,1,"4,217"
Belton,59,"25,171"
Benbrook,5,"24,336"
Bertram,6,"2,060"
Big Sandy,1,"1,308"
Big Spring,56,"22,373"
Big Wells,2,461
Bishop,3,"3,082"
Bivins,4,
Blanco,5,"2,005"
Bloomburg,5,329
Bloomington,2,
Bluff Dale,1,
Bluffton,1,
Boerne,122,"21,774"
Bogata,2,"1,095"
Boling,1,
Bonham,1,"10,879"
Borger,12,"12,115"
Bowie,4,"5,964"
Boyd,1,"1,757"
Brackettville,10,"1,334"
Brady,1,"4,965"
Brashear,1,
Brazoria,16,"2,853"
Breckenridge,6,"5,140"
Bremond,6,873
Brenham,5,"19,142"
Bridge,3,"9,666"
Briggs,2,
Brookeland,1,
Brookshire,226,"5,667"
Brownfield,1,"8,652"
Brownsville,13,"190,158"
Brownwood,8,"18,790"
Bruceville,24,
Bryan,34,"89,615"
Buckholts,2,388
Buda,764,"16,030"
Buffalo,20,"1,855"
Bulverde,10,"6,970"
Buna,3,
Burkburnett,6,"11,089"
Burkeville,1,
Burleson,451,"55,220"
Burnet,26,"6,940"
Byers,5,472
Caddo,1,
Caddo Mills,12,"4,183"
Caldwell,3,"4,579"
Calvert,2,970
Cameron,9,"5,511"
Camp Wood,1,511
Campbell,1,591
Campbellton,14,
Canadian,4,"2,210"
Canton,11,"4,734"
Canutillo,2,
Canyon,8,"16,171"
Canyon Lake,1,
Carmine,1,248
Carrizo Springs,1,"4,628"
Carrollton,2431,"132,918"
Carthage,6,"6,601"
Castroville,9,"3,141"
Cat Spring,1,
Catarina,2,
Cedar Creek,86,
Cedar Hill,119,"48,411"
Cedar Park,670,"77,516"
Cedar Park-Liberty Hill,1,
Celina,1,"43,317"
Center,1,"5,163"
Centerville,6,949
Channelview,399,
Channing,5,264
Chappell Hill,1,
Childress,5,"5,770"
Chillicothe,4,542
Chilton,4,
Cibolo,5,"36,374"
Cisco,54,"4,006"
Clarendon,14,"1,859"
Clarksville,5,785
Clarksville,5,"2,876"
Claude,9,"1,186"
Cleburne,10,"36,209"
Cleveland,25,"9,113"
Clint,69,"1,014"
Clute,18,"10,704"
Clyde,9,"3,985"
Coahoma,6,902
Coldspring,1,866
Coleman,7,"3,966"
College Station,15,"125,192"
Colleyville,19,"25,736"
Collinsville,1,"2,023"
Colmesneil,3,546
Colorado,39,"3,987"
Columbus,25,"3,786"
Comanche,14,"4,294"
Comfort,19,
Comstock,1,
Concan,3,
Conroe,1029,"108,248"
Converse,255,"30,321"
Cookville,2,
Cooper,2,"2,025"
Coppell,214,"41,404"
Copperas Cove,18,"38,696"
Corinth,7,"23,707"
Corpus Christi,80,"316,595"
Corrigan,11,"1,435"
Corsicana,44,"25,671"
Cotulla,51,"3,612"
Coupland,78,295
Coyanosa,3,
Crandall,36,"4,995"
Crane,4,"3,362"
Creedmoor,60,425
Cresson,4,"1,983"
Crockett,17,"6,286"
Crosby,31,
Crossroads,6,
Crowley,25,"19,932"
Crystal,11,"6,099"
Cuero,1,"8,204"
Cumby,4,706
Cypress,410,
Daingerfield,5,"2,502"
Dale,47,
Dalhart,18,"8,353"
Dallas,119311,"1,302,868"
Damon,7,
Danbury,12,"1,675"
Dawson,3,817
Dayton,13,"9,693"
De Berry,9,
De Kalb,8,"1,461"
De Leon,4,"2,337"
Decatur,16,"8,016"
Deer Park,212,"33,176"
Del Rio,9,"34,574"
Del Valle,2742,
Dell,2,271
Denison,11,"26,343"
Denton,1737,"158,349"
Desdemona,6,
Desoto,255,
Detroit,1,707
Devine,5,"4,580"
Diboll,17,"4,551"
Dickens,1,208
Dickinson,246,"21,834"
Dilley,9,"3,333"
Dimmitt,8,"4,071"
Donna,7,"16,782"
Driftwood,2,
Dripping Springs,65,"8,689"
Dublin,2,"3,422"
Dumas,3,"14,291"
Duncanville,1101,"38,883"
Eagle Lake,3,"3,508"
Eagle Pass,4,"28,282"
Earth,2,897
East Bernard,10,"2,240"
Eastland,25,"3,645"
Edcouch,4,"2,677"
Eddy,35,
Eden,9,"1,834"
Edinburg,76,"105,799"
Edna,11,"6,012"
El Campo,9,"12,062"
El Paso,15293,"678,958"
Electra,19,"2,272"
Elgin,233,"12,304"
Elm Mott,11,
Elmendorf,89,"2,398"
Emory,1,"1,366"
Encinal,12,521
Encino,3,
Ennis,126,"23,686"
Eola,1,
Etoile,1,
Euless,654,"59,686"
Eustace,1,"1,157"
Fabens,23,
Fairfield,11,"2,972"
Falfurrias,7,"4,420"
Farmersville,5,"4,175"
Farwell,4,"1,380"
Fate,21,"24,626"
Fayetteville,2,250
Ferris,159,"3,370"
Flatonia,13,"1,371"
Flint,6,
Florence,49,"1,203"
Flower Mound,4,"79,445"
Floydada,4,"2,519"
Fluvanna,1,
Forest Hill,80,"14,157"
Forney,611,"35,470"
Forreston,32,
Fort Bliss,163,
Fort Davis,17,
Fort Hancock,31,
Fort Hood,12,
Fort Stockton,53,"8,113"
Fort Worth,15463,"978,468"
Fowlerton,2,
Franklin,3,"1,728"
Frankston,7,"1,111"
Fredericksburg,25,"11,542"
Freeport,34,"10,550"
Fresno,14,
Friendswood,333,"40,826"
Frisco,272,"225,007"
Fritch,3,"1,794"
Fulshear,3,"42,616"
Gail,1,
Gainesville,21,"18,107"
Galena Park,6,"10,271"
Galveston,152,"53,237"
Ganado,9,"2,007"
Garden,4,
Garland,2414,"243,470"
Garrison,1,817
Garwood,1,
Gary,1,338
Gatesville,3,"16,148"
George West,1,"2,167"
Georgetown,518,"96,312"
Giddings,7,"5,254"
Gilmer,7,"5,100"
Gladewater,4,"6,272"
Glen Rose,2,"2,887"
Glenn Heights,1,"18,793"
Godley,2,"3,589"
Goldsmith,6,226
Goldthwaite,13,"1,762"
Goliad,18,"1,683"
Gonzales,7,"7,221"
Goodrich,1,278
Gordon,8,489
Gordonville,1,
Graford,10,717
Graham,2,"8,819"
Granbury,11,"12,622"
Grand Prairie,3951,"202,134"
Grandview,45,"1,926"
Granger,5,"1,193"
Granite Shoals,3,"5,451"
Grapeland,2,"1,487"
Grapevine,909,"50,928"
Greenville,48,"32,717"
Groom,8,549
Groves,5,"16,764"
Groveton,14,934
Gruver,4,"1,083"
Gun Barrel,1,"6,824"
Gunter,1,"2,463"
Guy,1,
Hale Center,3,"1,997"
Hallettsville,2,"2,756"
Hallsville,15,"4,812"
Haltom,248,"45,290"
Hamilton,5,"2,997"
Hamlin,2,"1,851"
Hamshire,6,
Harker Heights,4,"34,447"
Harlingen,20,"71,510"
Harper,5,
Harrold,7,
