City,Number of Accidents,population,Accidents_Population
Abbott,32,364.0,0.08791208791208792
Abernathy,5,2814.0,0.0017768301350390902
Abilene,71,129043.0,0.0005502041955007245
Addison,123,17100.0,0.007192982456140351
Adrian,12,130.0,0.09230769230769231
Alamo,30,20460.0,0.001466275659824047
Alba,2,499.0,0.004008016032064128
Albany,4,1923.0,0.0020800832033281333
Aledo,192,6287.0,0.030539207889295372
Alice,6,17579.0,0.00034131634336424143
Allen,570,111620.0,0.005106611718330049
Alto,2,1054.0,0.0018975332068311196
Alton,2,21130.0,9.46521533364884e-05
Alvarado,111,6225.0,0.01783132530120482
Alvin,55,28633.0,0.001920860545524395
Amarillo,84,202408.0,0.0004150033595510059
Amherst,5,655.0,0.007633587786259542
Anahuac,14,1997.0,0.007010515773660491
Andrews,18,13502.0,0.0013331358317286328
Angleton,129,20206.0,0.0063842423042660594
Anna,47,27501.0,0.0017090287625904513
Anson,2,2302.0,0.0008688097306689834
Anton,2,916.0,0.002183406113537118
Archer,5,1626.0,0.003075030750307503
Argyle,120,5859.0,0.02048131080389145
Arlington,5281,398431.0,0.013254490739927365
Asherton,2,690.0,0.002898550724637681
Athens,8,13503.0,0.0005924609346071244
Atlanta,2,5421.0,0.00036893562073418186
Aubrey,19,8267.0,0.0022982944236119513
Austin,87126,979882.0,0.08891478769892701
Avinger,2,370.0,0.005405405405405406
Azle,6,14562.0,0.00041203131437989287
Baird,15,1526.0,0.009829619921363041
Balch Springs,1099,26711.0,0.041144097937179436
Ballinger,1,3581.0,0.00027925160569673273
Balmorhea,21,384.0,0.0546875
Bandera,1,879.0,0.0011376564277588168
Barstow,5,252.0,0.01984126984126984
Bartlett,3,1616.0,0.0018564356435643563
Bastrop,37,11679.0,0.003168079458857779
Baytown,448,84067.0,0.005329082755421271
Beasley,19,692.0,0.02745664739884393
Beaumont,155,112193.0,0.0013815478684053373
Beckville,6,742.0,0.008086253369272238
Bedford,755,48370.0,0.015608848459789125
Bedias,1,394.0,0.0025380710659898475
Bee Cave,23,8621.0,0.0026679039554576033
Beeville,6,13211.0,0.00045416698206040423
Bellaire,728,17016.0,0.04278326281147156
Bellevue,6,302.0,0.019867549668874173
Bells,6,1521.0,0.0039447731755424065
Bellville,1,4217.0,0.00023713540431586437
Belton,59,25171.0,0.0023439672639148225
